Neil Gorsuch|To some lawyers, all facts are created equal.
Anonymous, The Bhagavad Gita|You have the right to work, but never to the fruit of work. You should never engage in action for the sake of reward, nor should you long for inaction. Perform work in this world, Arjuna, as a man established within himself - without selfish attachments, and alike in success and defeat.
Christine Zolendz, Saving Grace|...I want first of all - in fact, as an end to these other desires - to be at peace with myself. I want a singleness of eye, a purity of intention, a central cor to my life that will enable me to carry out these obligations and activities as well as I can. I want, in fact - to borrow from the language of the saints -to live 'in grace' as much of the time as possible. I am not using this term in a strictly theological sense. By grace I mean an inner harmony, essentially spiritual, which can be translated into outward harmony...
Ben Willoughby, Gods on the Mountain|Life is so transient, finite, and fragile that there is no time to hate anyone.
Alice Hoffman, Faithful|Life was beautiful, everyone knew that, but it was also bitter and bleak and unfair as hell and where did that leave a person? On the outs with the rest of the world. Someone who sat alone in the cafeteria, reading, escaping from his hometown simply by turning the page.
Rush Limbaugh|Manhattan's probably one of the bluest parts in the country, and Indiana's definitely one of the redder states. I have sympathy for both sides.
Alanea Alder, My Commander|She needs tampons. Evidently it helps with this process. We have to secure the location of where they are being sold, acquire them and then get them back to my mate posthaste.
Dada Bhagwan|Every spoken word carries great risk. Therefore, it is better to remain silent if one does not know how to talk. Talking about religion carries religious risks, talking about worldly matters, carries worldly risks. The worldly risk will go away, but religious risk is very heavy; it creates grave obstacles in regards to religion.
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|If you've passion- the desire to succeed at all cost, there won't be any lack or limitation that could stop you. Passion wipes out excuses.
John Paul II|The Gospel lives in conversation with culture, and if the Church holds back from the culture, the Gospel itself falls silent. Therefore, we must be fearless in crossing the threshold of the communication and information revolution now taking place.
Ane Krstevska|Stop wasting your time over what you can’t control, make the most of what you can control and miracles are bound to happen.
Michael Meade, Why the World Doesn't End: Tales of Renewal in Times of Loss|In the end, what we fear will not go away, for it indicates what we must go through in order to awaken, become more genuine, and live more fully. The problem is that we tend to be most afraid of what our own souls require of us. Often our deepest fear is that we might become who we are intended to be, who we already are at our core. For becoming who we truly are requires the greatest amount of change.
